 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
1; 580;Severni Marianski otoki;Northern Mariana Islands; ;
1; 581;Stranski zunanji otoki Združenih držav;United States Minor Outlying Islands; ;
1; 583;Mikronezija (Federativne države);Micronesia, Federated states of; ;
1; 584;Marshallovi otoki;Marshall Islands; ;
1; 585;Palau;Palau; ;
1; 586;Pakistan;Pakistan; ;
1; 591;Panama;Panama; ;
1; 598;Papua Nova Gvineja;Papua New Guinea; ;
1; 600;Paragvaj;Paraguay; ;
1; 604;Peru;Peru; ;
1; 608;Filipini;Philippines; ;
1; 612;Pitcairn;Pitcairn; ;
1; 616;Poljska;Poland; ;
1; 620;Portugalska;Portugal; ;
1; 624;Gvineja Bissau;Guinea-Bissau; ;
1; 626;Vzhodni Timor;Timor-Leste; ;
1; 630;Portoriko;Puerto Rico; ;
1; 634;Katar;Qatar; ;
1; 638;Reunion;Reunion; ;
1; 642;Romunija;Romania; ;
1; 643;Ruska federacija;Russian federation; ;
1; 646;Ruanda;Rwanda; ;
1; 654;Saint Helena;Saint Helena; ;
1; 659;Saint Kitts in Nevis;Saint Kitts and Nevis; ;
1; 660;Angvila;Anguilla; ;
1; 662;Saint Lucia;Saint Lucia; ;
1; 666;Saint Pierre in Miquelon;Saint Pierre and Miquelon; ;
1; 670;Saint Vincent in Grenadine;Saint Vincent and the Grenadines; ;
1; 674;San Marino;San Marino; ;
1; 678;Sao Tome in Principe;Sao Tome and Principe; ;
1; 682;Saudova Arabija;Saudi Arabia; ;
1; 686;Senegal;Senegal; ;
1; 688;Srbija;Serbia; ;
1; 690;Sejšeli;Seychelles; ;
1; 694;Sierra Leone;Sierra Leone; ;
1; 702;Singapur;Singapore; ;
1; 703;Slovaška;Slovakia; ;
1; 704;Vietnam;Viet Nam; ;
1; 705;Slovenija;Slovenia; ;
1; 706;Somalija;Somalia; ;
1; 710;Južna Afrika;South Africa; ;
1; 716;Zimbabve;Zimbabwe; ;
1; 724;Španija;Spain; ;
1; 732;Zahodna Sahara;Western Sahara; ;
1; 736;Sudan;Sudan; ;
1; 740;Surinam;Suriname; ;
1; 744;Svalbard in Jan Mayen;Svalbard and Jan Mayen; ;
1; 748;Svazi;Swaziland; ;
1; 752;Švedska;Sweden; ;
1; 756;Švica;Switzerland; ;
1; 760;Sirska arabska republika;Syrian Arab republic; ;
1; 762;Tadžikistan;Tajikistan; ;
1; 764;Tajska;Thailand; ;
1; 768;Togo;Togo; ;
1; 772;Tokelau;Tokelau; ;
1; 776;Tonga;Tonga; ;
1; 780;Trinidad in Tobago;Trinidad and Tobago; ;
1; 784;Združeni arabski emirati;United Arab Emirates; ;
1; 788;Tunizija;Tunisia; ;
1; 792;Turèija;Turkey; ;
1; 795;Turkmenistan;Turkmenistan; ;
1; 796;Otoki Turks in Caicos;Turks and Caicos Islands; ;
1; 798;Tuvalu;Tuvalu; ;
1; 800;Uganda;Uganda; ;
1; 804;Ukrajina;Ukraine; ;
1; 807;Makedonija, Nekdanja jugoslovanska republika;Macedonia, the Former Yugoslav Republic of; ;
1; 818;Egipt;Egypt; ;
